page,stt,ma_so,nhom,ten_mon_an,ten_mon_an_en,nang_luong,nang_luong_don_vi,chat_dam,chat_beo,chat_bot_duong
81,8,SFF-113067,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Mỳ vằn thắn,Wheat noodle with Wonton soup,579.6,Kcal,35.6,22.8,58
81,9,SFF-113062,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Mỳ tim cật,Wheat noodle soup with mixed pork organs,332.7,Kcal,14.9,6.4,53.8
81,10,SFF-113051,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Miến riêu cua (trộn),Vermicelli mixed with fresh water crab paste,493,Kcal,24,17.7,59.4
81,11,SFF-113050,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Miến riêu cua (nước),Vermicelli soup with fresh water crab paste,461.2,Kcal,22.5,17.6,53.2
81,12,SFF-113004,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Miến ngan mọc,Vermicelli soup with muscovy duck and meatball,569.3,Kcal,27,28.5,51.2
81,13,SFF-113011,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Miến lươn trộn,Vermicelli mixed with eel,308.8,Kcal,8.5,6.1,54.9
81,14,SFF-113010,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Miến lươn nước,Vermicelli soup with eel,338.2,Kcal,8.9,7,59.9
81,15,SFF-112032,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Hủ tiếu thịt bằm,Rice noodle soup with minced pork,530.9,Kcal,31.7,18.5,59.5
82,1,SFF-112020,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Hủ tiếu Nam Vang,Rice noodle soup with pork and shrimp (Nam Vang style),537.1,Kcal,30.1,9.5,82.8
82,2,SFF-112031,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Hủ tiếu đại dương,Rice noodle soup with mixed seafood,572.1,Kcal,47.4,18.9,53.1
82,3,SFF-112013,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bánh canh sườn heo,Thick rice noodle soup with pork-rib,487.6,Kcal,20.6,12.7,72.8
82,4,SFF-112012,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bánh canh ghẹ,Thick rice noodle soup with flower crab,590,Kcal,21.6,18.1,85.2
82,5,SFF-112002,"Bánh đa, bún, phở",Phở Thìn,Pho Thin,873,Kcal,42,41.4,83.1
82,6,SFF-113049,"Bánh đa, bún, phở",Phở lõi bò,Pho with Beef heel muscle,461.8,Kcal,19.9,11.4,69.9
82,7,SFF-113057,"Bánh đa, bún, phở",Phở gà trộn,Pho mixed with chicken,524.6,Kcal,30.4,14.6,68
82,8,SFF-111012,"Bánh đa, bún, phở",Phở chiên phồng,Fried Pho,677.1,Kcal,25.2,33.1,69.6
82,9,SFF-113090,"Bánh đa, bún, phở",Phở bò tái chín,Pho with rare beef,503.6,Kcal,36.4,11.9,62.6
82,10,SFF-113046,"Bánh đa, bún, phở",Phở bò tái gầu,Pho with rare beef brisket,581.5,Kcal,28.1,17.5,77.9
82,11,SFF-113001,"Bánh đa, bún, phở",Bún riêu bò,Rice vermicelli with with beef and fresh water crab paste,527,Kcal,31,23,49
82,12,SFF-112015,"Bánh đa, bún, phở",Bún ốc sườn,Rice vermicelli with stuffed snails and pork-rib,540.9,Kcal,35.3,14,68.4
82,13,SFF-112057,"Bánh đa, bún, phở",Bún ốc nguội,Rice vermicelli with cold stuffed snails,563.5,Kcal,38,6.1,89.3
82,14,SFF-113013,"Bánh đa, bún, phở","Bún riêu cua, giò, bò","Rice vermicelli with crab paste, beef and steamed pork",661.3,Kcal,19.7,19,43.9
82,15,SFF-221011,Giải khát,Nước ép lựu,Pomegranate Juice,211.8,Kcal,0.6,1.1,49.9
83,1,SFF-221013,Giải khát,Nước ép lê,Pear juice,229.2,Kcal,3.4,1,51.8
83,2,SFF-223010,Các món khác,Trứng gà rán ngải cứu,Mugwort fried eggs,114.6,Kcal,6.9,8.8,2
83,3,SFF-223002,Các món khác,Tôm viên chiên đường phố,Fried shrimp balls,264.6,Kcal,10.8,19,12.9
83,4,SFF-223025,Các món khác,Tiết luộc,Boiled pig blood,65.9,Kcal,11.4,0.2,4.6
83,5,HAP-221022,Các món khác,Bắp xào tép,Stir-fried maize seeds with small shrimp,758.7,Kcal,11,41.1,86.3
83,6,SFF-223019,Các món khác,Chả lợn mỡ,Fatty pork-patse,367.2,Kcal,7.7,35.8,3.6
83,7,SFF-221022,Các món khác,Bắp xào tép,Stir-fried maize seeds with small shrimp,758.7,Kcal,11,41.1,86.3
83,8,SFF-111014,"Bánh đa, bún, phở",Bún ốc chấm,Rice vermicelli with snail and dipping sauce,661.3,Kcal,58.2,7.9,89.3
83,9,SFF-113105,"Bánh đa, bún, phở",Bún ngan măng khô,Rice vermicelli with boiled muscovy and dried Bamboo shoots,630.1,Kcal,29.7,32.1,55.6
83,10,SFF-113005,"Bánh đa, bún, phở",Bún ngan măng tươi,Rice vermicelli with boiled muscovy and fresh Bamboo shoots,601.2,Kcal,31.1,29.2,53.5
83,11,SFF-113017,"Bánh đa, bún, phở",Bún nem cua bể,Rice vermicelli with Crab spring rolls,596.3,Kcal,13.4,7.1,119.7
83,12,SFF-111029,"Bánh đa, bún, phở","Bún đậu mắm tôm, lòng lợn","Rice vermicelli with tofu, pork intestine and fermented shrimp paste",914.9,Kcal,42.2,36,105.7
83,13,SFF-111005,"Bánh đa, bún, phở",Bún chả rươi,Rice vermicelli with sandworm omelet,719.8,Kcal,50.2,24,75.9
83,14,SFF-113020,"Bánh đa, bún, phở",Bún chả nem,Rice vermicelli with grilled pork and spring rolls,901.1,Kcal,40.8,33.1,110
83,15,SFF-113033,"Bánh đa, bún, phở",Bún nem cá,Rice vermicelli with fish springrolls,668.2,Kcal,38.5,17.8,88.5
84,1,SFF-113034,"Bánh đa, bún, phở",Bún cá chấm,Rice vermicelli with fried fish and dipping broth,451.2,Kcal,37.6,4.8,64.4
84,2,SFF-112016,"Bánh đa, bún, phở",Bánh đa đỏ trộn,Red thick rice noodle mixed with meat and vegetables,550.7,Kcal,24,19.4,70.1
84,3,SFF-113002,"Bánh đa, bún, phở","Bánh đa cua, bò, giò","Red thick rice noodle soup with crab paste, beef and steamed pork-paste",480.1,Kcal,18.6,20,56.4
84,4,SFF-113093,"Bánh đa, bún, phở","Bánh đa cua, giò",Red thick rice noodle soup with crab paste and steamed pork ear roll,479.1,Kcal,13.8,22.4,55
84,5,SFF-111030,"Bánh đa, bún, phở","Bánh đa cua, bò, mọc","Red thick rice noodle soup with crab paste, beef and meatball",749.7,Kcal,59.4,24.4,73.1
