page,stt,ma_so,nhom,ten_mon_an,ten_mon_an_en,nang_luong,nang_luong_don_vi,chat_dam,chat_beo,chat_bot_duong
8,7,VPF-000322,"Các món bánh, kẹo",Bánh kem xốp,Wafer rolls,109,Kcal,13.4,4.9,15
8,8,VPF-000321,"Các món bánh, kẹo",Bánh gấu,Bear-shaped biscuits,157,Kcal,2,8,20
8,9,VPF-000320,"Các món bánh, kẹo",Bánh gạo,Rice crackers,76,Kcal,0,3,
8,10,VPF-000319,"Các món bánh, kẹo",Bánh đa vừng trắng,White sesame rice cracker,124,Kcal,3.9,1.1,24.6
8,11,VPF-000318,"Các món bánh, kẹo",Bánh đa vừng đen,Black sesame rice cracker,156,Kcal,5,1.4,31
8,12,VPF-000317,"Các món bánh, kẹo",Bánh đậu xanh,Mung bean cake,113,Kcal,3.5,5.4,
8,13,VPF-000316,"Các món bánh, kẹo",Bánh dẻo trứng đậu xanh,Snow skin mooncake with mung bean and egg yolk,648,Kcal,19.5,27.5,80.6
8,14,VPF-000315,"Các món bánh, kẹo",Bánh dẻo thập cẩm,Mixed snow skin mooncake,566,Kcal,16.3,6.6,110.2
8,15,VPF-000314,"Các món bánh, kẹo",Bánh Chocopie,Choco Pie,140,Kcal,2,5,22
9,1,VPF-000313,"Các món bánh, kẹo",Bánh bông lan,Sponge cak,117,Kcal,1,5.5,12.5
9,2,VPF-000312,"Các món bánh, kẹo",Bánh mỳ sốt vang,Baguette with beef stew,382,Kcal,19.3,12.6,41.6
9,3,VPF-000311,"Các món bánh, kẹo",Bánh mỳ ruốc,Baguette with pork floss,129,Kcal,3,2,20.4
9,4,VPF-000310,"Các món bánh, kẹo",Bánh mỳ pate,Baguette with pate,361,Kcal,19.3,14.8,37.5
9,5,VPF-000309,"Các món bánh, kẹo",Bánh mỳ ốp la,Baguette with fried egg,428,Kcal,16.5,21.7,41.5
9,6,VPF-000308,"Các món bánh, kẹo",Bánh mỳ ngọt (Kinh Đô),Sweet bread (Kinh Do),239,Kcal,,10.9,29.8
9,7,VPF-000307,"Các món bánh, kẹo",BÁNH MỲ KẸP THẬP CẨM,Vietnamese baguette with assorted fillings,558,Kcal,23.8,38.7,28.4
9,8,VPF-000306,"Các món bánh, kẹo",Bánh mỳ kẹp chả,Vietnamese baguette with pork sausage,391,Kcal,14.1,22,34.3
9,9,VPF-000305,"Các món bánh, kẹo",Bánh mỳ hot-dog nhân xúc xích,Hot dog bread with sausage,332,Kcal,12.1,16.3,34.4
9,10,VPF-000304,"Các món bánh, kẹo",Bánh mỳ que Hải Phòng,Hai Phong stick bread,55,Kcal,1.7,0.2,11.6
9,11,VPF-000303,"Các món bánh, kẹo",Bánh mỳ vuông,Square bread,95,Kcal,3,0.3,20
9,12,VPF-000302,"Các món bánh, kẹo",Bánh xu xê,Sweet cassava cake,110,Kcal,1.2,0.9,
9,13,VPF-000301,"Các món bánh, kẹo",Bánh trôi,Sweet glutinous rice balls,473,Kcal,8.6,2.5,104
9,14,VPF-000300,"Các món bánh, kẹo",Bánh tẻ,Steamed rice cake,251,Kcal,3.9,5.2,47
9,15,VPF-000299,"Các món bánh, kẹo",Bánh nếp,Sticky rice cake,576,Kcal,16.3,8,109.6
10,1,VPF-000298,"Các món bánh, kẹo",Bánh giò,Steamed pork rice cake,437,Kcal,5.13,33.6,28.7
10,2,VPF-000297,"Các món bánh, kẹo",Bánh gai,Black sticky rice cake,361,Kcal,9.3,4.2,71.4
10,3,VPF-000296,"Các món bánh, kẹo",Bánh đúc,Steamed rice flour cake,110,Kcal,2.7,2.7,18.9
10,4,VPF-000295,"Các món bánh, kẹo",Bánh dày nhân đậu loại nhỏ,mall sticky rice cake with mung bean filling,50,Kcal,1.8,0.7,9.2
10,5,VPF-000294,"Các món bánh, kẹo",Bánh cuốn trứng + chả,Steamed rice rolls with egg and pork sausage,354,Kcal,18,22.5,20
10,6,VPF-000293,"Các món bánh, kẹo",Bánh cuốn thịt,Steamed rice rolls with pork,440,Kcal,16.7,18.5,51.5
10,7,VPF-000292,"Các món bánh, kẹo",Bánh cuốn chả,Steamed rice rolls with pork sausage,353,Kcal,10.1,19.4,34.3
10,8,VPF-000291,"Các món bánh, kẹo",Bánh cốm,Green rice cake,168,Kcal,2.9,0.3,38.4
10,9,VPF-000290,"Các món bánh, kẹo",Bánh chưng cỡ vừa,Medium-sized square sticky rice cake,204,Kcal,4.7,5.6,33.9
10,10,VPF-000289,"Các món bánh, kẹo",Bánh chay,Sweet rice dumplings,349,Kcal,7.7,1.4,76.5
10,11,VPF-000288,"Các món bánh, kẹo",Bánh bột lọc,Clear shrimp and pork dumplings,298,Kcal,14.9,5.5,47.3
10,12,VPF-000287,"Các món bánh, kẹo",Bánh bao nhân thịt,Steamed bun with pork filling,409,Kcal,11.4,0.9,88.8
10,13,VPF-000286,"Các món bánh, kẹo",Bánh bao chay,Vegetarian steamed bun,33,Kcal,0.9,0.1,7.1
10,14,VPF-000285,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Lẩu thập cẩm,Mixed hot pot,2605,Kcal,197.2,119.6,194
10,15,VPF-000284,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Lẩu hải sản,Seafood hot pot,666,Kcal,86,18,38
11,1,VPF-000283,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Lẩu gà,Chicken hot pot,1388,Kcal,109.1,74.9,69.1
11,2,VPF-000282,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Lẩu ếch,Frog hot pot,1643,Kcal,144.6,41.5,179.1
11,3,VPF-000281,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu","Lẩu cua, thịt bò",Crab and beef hot pot,1584,Kcal,178,85,27
11,4,VPF-000280,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở vịt quay,Roast duck pho,592,Kcal,22,15.9,90.4
11,5,VPF-000279,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở xào tim cật,Stir-fried pho with chicken heart and gizzard,485,Kcal,18.3,12.1,76
11,6,VPF-000278,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở gà bình dân,Affordable chicken pho,343,Kcal,15.2,9.5,49
11,7,VPF-000277,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở gà 24h,Chicken pho slow-cooked 24h,356,Kcal,19,12.2,42.6
11,8,VPF-000276,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở cuốn,Pho rolls,47,Kcal,2.2,1.3,6.8
11,9,VPF-000275,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở bò xào,Stir-fried beef pho,517,Kcal,19.8,12,85.2
11,10,VPF-000274,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở bò tái lăn,Stir-fried rare beef pho,620,Kcal,45.6,16.8,71.7
11,11,VPF-000273,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở bò tái bình dân,Affordable rare beef pho,276,Kcal,13.4,4.6,45.3
11,12,VPF-000272,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở bò tái 24h,Rare beef pho slow-cooked 24h,314,Kcal,18.7,5.5,47.4
11,13,VPF-000271,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở bò sốt vang,Beef pho with red wine sauce,483,Kcal,37.7,10.7,59.1
11,14,VPF-000270,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở bò chín bình dân,Affordable beef pho,291,Kcal,16.1,5.1,45.3
11,15,VPF-000269,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Phở bò chín 24h,Beef pho slow-cooked 24h,352,Kcal,25.4,6.7,47.4
12,1,VPF-000268,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Mỳ xào thập cẩm,Mixed stir-fried noodles,339,Kcal,13.4,12.5,41.5
12,2,VPF-000267,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Mỳ vịt tiềm,Braised duck noodle soup,656,Kcal,34.1,28.3,81.2
12,3,VPF-000266,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu","Mỳ vằn thắn, sủi cảo","Wonton noodle soup, dumplings",373,Kcal,24.2,12,40.6
12,4,VPF-000265,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Mỳ thịt lợn,Pork noodle soup,445,Kcal,17.6,20.8,46.8
12,5,VPF-000264,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Mỳ thịt bò,Beef noodle soup,422,Kcal,16.6,18.5,47.4
12,6,VPF-000263,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Mỳ spaghetti thịt bò,Beef spaghetti,509,Kcal,20.2,15.5,72.2
12,7,VPF-000262,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Mỳ spaghetti hải sản,Seafood spaghetti,340,Kcal,14.2,12,42
12,8,VPF-000261,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Mỳ Quảng,Quang-style noodles,453,Kcal,18.3,7.7,77.8
12,9,VPF-000260,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Miến ngan,Glass noodle soup with duck,327,Kcal,5.5,14.9,42.8
12,10,VPF-000259,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Miến lươn xào,Stir-fried glass noodles with eel,442,Kcal,21.7,21.1,41.3
12,11,VPF-000258,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Miến lươn nước,Glass noodle soup with eel,255,Kcal,11.8,8.5,39.5
12,12,VPF-000257,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Miến gà,Glass noodle soup with chicken,300,Kcal,9.5,9,45.4
12,13,VPF-000256,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Hủ tiếu xào hải sản,Stir-fried hu tieu noodles with seafood,461,Kcal,23.5,24.2,40.9
12,14,VPF-000255,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Hủ tiếu nước,Hu tieu noodle soup,454,Kcal,34.8,10.7,54.5
12,15,VPF-000254,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Súp ngô cua,Corn and crab soup,145,Kcal,9.5,3.5,18.8
13,1,VPF-000253,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Súp nấm gà,Chicken mushroom soup,77,Kcal,5.8,3.2,6.2
13,2,VPF-000252,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Súp hải sản,Seafood soup,80,Kcal,3.3,4.3,6.8
13,3,VPF-000251,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo vịt,Duck congee,296,Kcal,7.5,14.2,34.5
13,4,VPF-000250,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo trai,Freshwater clam congee,217,Kcal,5.4,5.9,35.6
13,5,VPF-000249,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo tim,Pork heart congee,214,Kcal,11.6,5.5,29.5
13,6,VPF-000248,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo thịt băm,Minced pork congee,,,11.8,12.2,
13,7,VPF-000247,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo sườn,Pork rib congee,159,Kcal,5.9,4,24.8
13,8,VPF-000246,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo óc lợn,Pork brain congee,210,Kcal,10.2,8.6,23.2
13,9,VPF-000245,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo lươn,Eel congee,298,Kcal,11.7,16,26.7
13,10,VPF-000244,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo lòng,Pork offal congee,278,Kcal,25.5,9.3,23.2
13,11,VPF-000243,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo gà,Chicken congee,225,Kcal,9.8,7.8,28.8
13,12,VPF-000242,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo đỗ xanh,Mung bean congee,153,Kcal,6.7,0.7,30
13,13,VPF-000241,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo đỗ đen,Black bean congee,158,Kcal,4,,34
13,14,VPF-000240,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo dinh dưỡng tôm,Nutritious shrimp congee,200,Kcal,6.9,5.3,31.3
13,15,VPF-000239,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo dinh dưỡng thịt bò,Nutritious beef congee,317,Kcal,9,6.6,55.4
14,1,VPF-000238,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo chim câu,Pigeon congee,388,Kcal,17,24.4,25.3
14,2,VPF-000237,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Cháo bầu dục,Pork kidney congee,205,Kcal,11.1,5,28.9
14,3,VPF-000236,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún vịt,Duck vermicelli soup,402,Kcal,9.1,19.7,47.1
14,4,VPF-000235,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún thang,Hanoi-style chicken vermicelli soup,288,Kcal,16.1,7.5,39.1
14,5,VPF-000234,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu","Bún riêu cua, ốc đậu",Crab noodle soup with snails and tofu,422,Kcal,20.8,2.8,78.3
14,6,VPF-000233,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún riêu cua,Crab noodle soup,275,Kcal,5.9,3.6,54.8
14,7,VPF-000232,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún ốc,Snail vermicelli soup,330,Kcal,11.8,3.5,63
14,8,VPF-000231,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún nem,Vermicelli with spring rolls,920,Kcal,21,21.7,160
14,9,VPF-000230,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún lòng lợn,Vermicelli with pork offal,399,Kcal,24.7,13.1,39.7
14,10,VPF-000229,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún giả cầy,Vermicelli with mock dog meat,669,Kcal,23.7,19.6,99.1
14,11,VPF-000228,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún đậu mắm tôm thịt chân giò,"Vermicelli with fried tofu, shrimp paste, and pork hock",779,Kcal,45.5,37.6,64.5
14,12,VPF-000227,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún đậu mắm tôm,Vermicelli with fried tofu and shrimp paste,700,Kcal,47.5,27.2,66.3
14,13,VPF-000226,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún dọc mùng thịt chân giò,Vermicelli soup with taro stem and pork hock,394,Kcal,13.1,15.2,51.4
14,14,VPF-000225,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún dọc mùng sườn,Vermicelli soup with taro stem and pork ribs,326,Kcal,10.6,10,48.4
14,15,VPF-000224,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún dọc mùng mọc,Vermicelli soup with taro stem and pork meatballs,287,Kcal,10.9,5.8,47.9
15,1,VPF-000223,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún chả,Grilled pork with vermicelli,518,Kcal,25.8,11,90.3
15,2,VPF-000222,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún chả cá,Fish cake vermicelli soup,635,Kcal,21.7,30,69.6
15,3,VPF-000221,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún cá,Fish vermicelli soup,439,Kcal,20.5,12.5,61.2
15,4,VPF-000220,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún bò Nam Bộ,Southern-style beef vermicelli,429,Kcal,23.3,13.3,53.9
15,5,VPF-000219,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bún bò giò heo (Huế),Hue-style beef noodle soup with pork hock,524,Kcal,28.3,16.7,65.1
15,6,VPF-000218,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bánh đa trộn,Mixed rice cracker noodles,409,Kcal,18.3,16.6,46.6
15,7,VPF-000217,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bánh đa nấu thịt,Rice cracker noodle soup with pork,191,Kcal,11.7,8.4,17.2
15,8,VPF-000216,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bánh canh thịt heo,Thick noodle soup with pork,547,Kcal,23.7,29.4,46.8
15,9,VPF-000215,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bánh canh thịt gà,Thick noodle soup with chicken,337,Kcal,12.5,11,46.8
15,10,VPF-000214,"Bánh canh, bánh đa, bún, cháo, súp, hoành thánh, hủ tiếu, miến, mỳ, phở, lẩu",Bánh canh cá rô,Thick noodle soup with perch,167,Kcal,14.9,5.5,15.8
15,11,VPF-000213,Các món khác,Salad rau củ,Vegetable salad,181,Kcal,2,16,8
15,12,VPF-000212,Các món khác,Nộm tai heo thập cẩm,Mixed pork ear salad,505,Kcal,44,25,27
15,13,VPF-000211,Các món khác,Nộm rau muống,Water spinach salad,230,Kcal,10.8,15.9,7.7
15,14,VPF-000210,Các món khác,Nộm hoa chuối thịt gà,Banana blossom and chicken salad,604,Kcal,34.1,29.3,50.1
15,15,VPF-000209,Các món khác,Nem tai,Pork ear salad,300,Kcal,28.3,7.5,18.8
16,1,VPF-000208,Các món khác,Nem lụi,Grilled pork skewers,382,Kcal,22.2,25.2,16.7
16,2,VPF-000207,Các món khác,Lợn mẹt,Assorted pork platter,2460,Kcal,176,135,135
16,3,VPF-000206,Các món khác,Kiệu muối,Pickled scallions,12,Kcal,0.7,,2.4
16,4,VPF-000205,Các món khác,Hành củ muối,Pickled shallots,20,Kcal,1.3,,3.6
16,5,VPF-000204,Các món khác,Gỏi xoài,Mango salad,105,Kcal,1,1,24
16,6,VPF-000203,Các món khác,Gỏi ngó sen,Lotus stem salad,615,Kcal,35.8,33.8,42.4
16,7,VPF-000202,Các món khác,Dưa chuột,Cucumber,21,Kcal,1,0.1,3.7
16,8,VPF-000201,Các món khác,Củ đậu,Jicama,56,Kcal,2,0,12
16,9,VPF-000200,Các món khác,Cà pháo muối,Pickled eggplant,7,Kcal,0.7,,1.1
16,10,VPF-000199,Các món khác,Cá ngừ sống,Raw tuna,118,Kcal,19.4,4.5,0
16,11,VPF-000198,Các món khác,Cà chua,Tomato,19,Kcal,0.6,0.2,3.9
16,12,VPF-000197,Các món khác,Bò xíu mại,Beef meatballs,423,Kcal,33,29,7
16,13,VPF-000196,Các món khác,Bò cuốn lá cải,Beef wrapped in mustard greens,222,Kcal,19.7,3.1,28.9
16,14,VPF-000195,Các món khác,Bánh đa cuốn thập cẩm,Mixed rice paper rolls,615,Kcal,42,30.2,43.2
16,15,VPF-000194,Món xào,Tim bầu dục xào cần tỏi,Stir-fried kidneys with celery and garlic,339,Kcal,28.4,15.2,22.4
17,1,VPF-000193,Món xào,Thịt gà xào sả,Stir-fried chicken with lemongrass,241,Kcal,23.2,16.4,0
17,2,VPF-000192,Món xào,Thịt trâu xào rau muống,Stir-fried buffalo meat with water spinach,283,Kcal,30.6,14.9,2.1
17,3,VPF-000191,Món xào,Thịt chim câu xào răm,Stir-fried pigeon with Vietnamese coriander,688,Kcal,31.1,61.6,2.4
17,4,VPF-000190,Món xào,Thịt bò xào su su,Stir-fried beef with chayote,203,Kcal,21.9,10.9,4.2
17,5,VPF-000189,Món xào,Thịt bò xào nấm,Stir-fried beef with mushrooms,182,Kcal,22.5,8.5,3.9
17,6,VPF-000188,Món xào,Thịt bò xào măng,Stir-fried beef with bamboo shoots,158,Kcal,24.2,3.7,7
17,7,VPF-000187,Món canh,Thịt bò xào lúc lắc,Shaking beef,469,Kcal,47.3,18.3,28.7
17,8,VPF-000186,Món xào,Thịt bò xào hoa thiên lý,Stir-fried beef with Tonkin jasmine flowers,270,Kcal,27.1,13.7,9.5
17,9,VPF-000185,Món xào,"Thịt bò xào hành tây, cà chua",Stir-fried beef with onions and tomatoes,281,Kcal,23.7,14.1,14.8
17,10,VPF-000184,Món xào,Thịt bò xào đậu cove,Stir-fried beef with green beans,162,Kcal,14.5,5.7,13.3
17,11,VPF-000183,Món xào,Thịt bò xào dứa,Stir-fried beef with pineapple,275,Kcal,24.8,11,19.3
17,12,VPF-000182,Món xào,Thịt bò xào cần tỏi,Stir-fried beef with celery and garlic,216,Kcal,23,11,6.6
17,13,VPF-000181,Món xào,Sườn xào chua ngọt,Sweet and sour ribs,289,Kcal,17.3,16,18.8
17,14,VPF-000180,Món xào,Su hào xào,Stir-fried kohlrabi,78,Kcal,2.3,5,6.1
17,15,VPF-000179,Món xào,Rau muống xào,Stir-fried water spinach,177,Kcal,10.2,11.2,
18,1,VPF-000178,Các món khác,Rau khoai lang xào tỏi,Stir-fried sweet potato leaves with garlic,114,Kcal,4,8,6.5
18,2,VPF-000177,Các món khác,Rau cải xoong xào tỏi,Stir-fried watercress with garlic,83,Kcal,5.4,5.2,3.6
18,3,VPF-000176,Các món khác,Rau cải ngồng xào tỏi,Stir-fried broccoli stems with garlic,122,Kcal,5.8,5,13.3
18,4,VPF-000175,Các món khác,Rau cải ngọt xào,Stir-fried Chinese mustard greens,62,Kcal,1.1,5,3.1
18,5,VPF-000174,Các món khác,Rau cải chíp xào nấm,Stir-fried bok choy with mushrooms,216,Kcal,14.3,11.7,13.6
18,6,VPF-000173,Các món khác,Rau cải bắp xào,Stir-fried cabbage,72,Kcal,1.5,5,5.4
18,7,VPF-000172,Các món khác,Rau bí xào tỏi,Stir-fried pumpkin leaves with garlic,95,Kcal,6,5,6.4
18,8,VPF-000171,Các món khác,Ớt đỏ xào,Stir-fried red chili peppers,66,Kcal,0.7,5.1,4.4
18,9,VPF-000170,Các món khác,Ngọn su su xào,Stir-fried chayote shoots,63,Kcal,2.2,5,2.4
18,10,VPF-000169,Các món khác,Mướp đắng xào trứng,Stir-fried bitter melon with eggs,140,Kcal,7.5,10,
18,11,VPF-000168,Các món khác,Mực xào thập cẩm,Stir-fried squid with mixed vegetables,154,Kcal,11.3,6.2,13.3
18,12,VPF-000167,Các món khác,Mực xào dứa,Stir-fried squid with pineapple,203,Kcal,14.5,11.1,11.1
18,13,VPF-000166,Các món khác,Mực xào dưa,Stir-fried squid with pickled mustard greens,175,Kcal,85,11.1,4.1
18,14,VPF-000165,Các món khác,Lươn xào sả ớt,Stir-fried eel with lemongrass and chili,358,Kcal,27.7,27.5,
18,15,VPF-000164,Các món khác,Lòng xào dưa,Stir-fried pork intestines with pickled mustard greens,240,Kcal,6.6,22.1,3.7
19,1,VPF-000163,Các món khác,"Lòng gà xào mướp, giá",Stir-fried chicken intestines with loofah and bean sprouts,196,Kcal,16.5,10.5,9.1
19,2,VPF-000162,Các món khác,Khoai tây xào,Stir-fried potato,246,Kcal,3.9,9.1,39.8
19,3,VPF-000161,Các món khác,Gan xào giá,Stir-fried liver with bean sprouts,370,Kcal,48.9,11.3,18.1
19,4,VPF-000160,Các món khác,Ếch xào măng,Frog stir-fried with bamboo shoots,203,Kcal,23.6,11.2,2
19,5,VPF-000159,Các món khác,Đậu cove xào,Stir-fried green beans,107,Kcal,4,5,11.7
19,6,VPF-000158,Các món khác,Củ cải xào trứng,Stir-fried radish with eggs,193,Kcal,10.4,13.1,8.3
19,7,VPF-000157,Các món khác,Củ cải xào,Stir-fried radish,38,Kcal,1.4,2,3.7
19,8,VPF-000156,Các món khác,Bí xanh xào,Stir-fried winter melon,55,Kcal,0.5,5,1.9
19,9,VPF-000155,Các món khác,Bí đỏ xào,Stir-fried pumpkin,66,Kcal,0.2,5,5.1
19,10,VPF-000154,Các món khác,Bê xào sả ớt,Veal stir-fried with lemongrass and chili,335,Kcal,36.7,16.7,9.4
19,11,VPF-000153,Các món khác,Vịt rang,Stir-fried duck,2047,Kcal,59,201,1
19,12,VPF-000152,Các món khác,Tôm đồng rang,Stir-fried freshwater shrimp,103,Kcal,7.4,3.7,10
19,13,VPF-000151,Các món khác,Tôm biển rang,Stir-fried sea shrimp,247,Kcal,35.2,8.8,6.8
19,14,VPF-000150,Các món khác,Thịt lợn ba chỉ rang cháy cạnh,Crispy caramelized pork belly,798,Kcal,50,65,5
19,15,VPF-000149,Các món khác,Nhộng rang lá chanh,Stir-fried silkworm pupae with kaffir lime leaves,223,Kcal,18.7,15.9,
