source,source_id,name_vi,name_en,category,nang_luong_kcal,chat_dam_g,chat_beo_g,chat_bot_duong_g,vitamin_a_mcg,beta_carotene_mcg,vitamin_c_mg,calcium_mg,iron_mg,zinc_mg,sodium_mg,cholesterol_mg,magnesium_mg,transfat_mg,canonical_name_en,alias_vi,source_priority,match_type,confidence_score,canonical_key,is_estimated
NIN,HAN-113106,Phở gà,Sliced-chicken noodle soup,"Bánh đa, bún, phở",455.7,20.2,13.9,62.4,22.2,205.5,14.4,80.4,1.6,0.8,687.5,4.7,7.9,0.0,Sliced-chicken noodle soup,Phở gà,1,canonical_nin,1.0,sliced-chicken noodle soup,False
NIN,HAN-113036,Phở gà,Sliced-chicken noodle soup,"Bánh đa, bún, phở",826.9,62.9,29.9,76.5,2434.1,786.4,56.5,112.3,8.6,5.5,198.4,524.8,78.6,0.0,Sliced-chicken noodle soup,Phở gà,1,canonical_nin,1.0,sliced-chicken noodle soup,False
NIN,HAN-111022,Phở gà,Sliced-chicken noodle soup,"Bánh đa, bún, phở",445.3,31.6,17.7,39.8,22.5,140.8,14.5,91.7,1.8,1.3,1071.4,7.4,10.5,0.0,Sliced-chicken noodle soup,Phở gà,1,canonical_nin,1.0,sliced-chicken noodle soup,False
NIN,HAN-113063,Phở chiên,Stir-fried pho,"Bánh đa, bún, phở",648.9,23.0,19.6,95.2,177.6,2118.9,97.0,299.7,5.5,3.0,68.2,35.4,51.8,0.0,Stir-fried pho,Phở chiên,1,canonical_nin,1.0,stir-fried pho,False
NIN,HAN-111010,Phở cuốn (10 cái),Rolled up beef noodles,"Bánh đa, bún, phở",781.4,41.0,28.8,89.4,57.0,587.1,30.2,94.1,6.3,3.5,2065.1,88.1,78.2,0.0,Rolled up beef noodles,Phở cuốn (10 cái),1,canonical_nin,1.0,rolled up beef noodles,False
NIN,HAN-111035,Phở cuốn (10 cái),Rolled up beef noodles,"Bánh đa, bún, phở",712.0,33.0,19.1,102.0,175.4,1779.5,58.4,186.9,5.8,6.0,1520.0,59.0,81.4,0.0,Rolled up beef noodles,Phở cuốn (10 cái),1,canonical_nin,1.0,rolled up beef noodles,False
NIN,HAN-111011,Phở bò xào,Fried rice noodles with beef,"Bánh đa, bún, phở",576.3,28.8,17.1,76.8,157.1,1875.8,143.5,296.5,5.8,5.1,701.1,50.2,75.6,0.0,Fried rice noodles with beef,Phở bò xào,1,canonical_nin,1.0,fried rice noodles with beef,False
NIN,HAN-113091,Phở bò tái,Noodle soup with eye round steak and meat balls,"Bánh đa, bún, phở",423.4,25.2,10.0,58.1,131.7,1532.7,65.4,125.7,5.2,2.2,2686.3,51.3,42.1,0.0,Noodle soup with eye round steak and meat balls,Phở bò tái,1,canonical_nin,1.0,noodle soup with eye round steak and meat balls,False
NIN,HAN-113047,Phở bò tái,Noodle soup with eye round steak and meat balls,"Bánh đa, bún, phở",441.7,22.6,7.0,72.1,35.1,416.1,28.8,62.0,2.9,1.6,63.2,37.8,27.1,0.0,Noodle soup with eye round steak and meat balls,Phở bò tái,1,canonical_nin,1.0,noodle soup with eye round steak and meat balls,False
NIN,HAN-113041,Phở bò sốt vang,Vietnamese Red Wine Beef Noodle Soup,"Bánh đa, bún, phở",479.0,29.0,16.8,53.0,11.5,123.3,6.0,29.1,2.0,0.0,4.4,33.6,2.1,0.0,Vietnamese Red Wine Beef Noodle Soup,Phở bò sốt vang,1,canonical_nin,1.0,vietnamese red wine beef noodle soup,False
NIN,HAN-111001,Phở bò sốt vang,Vietnamese Red Wine Beef Noodle Soup,"Bánh đa, bún, phở",825.6,60.8,29.3,79.7,49.3,589.0,33.2,119.4,10.9,5.8,849.2,180.7,70.3,0.0,Vietnamese Red Wine Beef Noodle Soup,Phở bò sốt vang,1,canonical_nin,1.0,vietnamese red wine beef noodle soup,False
NIN,HAN-113089,Phở bò chín,Noodle soup with brisket & meat balls,"Bánh đa, bún, phở",448.5,33.2,11.4,53.2,37.2,432.5,27.5,94.4,5.3,3.2,2579.0,76.6,49.3,0.0,Noodle soup with brisket & meat balls,Phở bò chín,1,canonical_nin,1.0,noodle soup with brisket & meat balls,False
NIN,HAN-113045,Phở bò chín,Noodle soup with brisket & meat balls,"Bánh đa, bún, phở",474.9,22.4,11.8,69.8,28.6,342.6,22.7,58.0,2.8,1.6,1969.0,37.0,25.6,0.0,Noodle soup with brisket & meat balls,Phở bò chín,1,canonical_nin,1.0,noodle soup with brisket & meat balls,False
NIN,HAN-113038,Bún trộn nam bộ,Southern Vietnamese beef noodle salad,"Bánh đa, bún, phở",492.8,20.0,12.8,74.5,125.7,1258.2,8.2,68.7,2.6,0.6,1380.0,30.3,35.3,0.0,Southern Vietnamese beef noodle salad,Bún trộn nam bộ,1,canonical_nin,1.0,southern vietnamese beef noodle salad,False
NIN,HAN-113104,Bún thang,Hot rice noodle soup,"Bánh đa, bún, phở",466.2,31.7,11.8,58.2,44.2,140.2,15.8,200.6,3.5,0.9,953.1,41.2,35.2,0.0,Hot rice noodle soup,Bún thang,1,canonical_nin,1.0,hot rice noodle soup,False
NIN,HAN-113066,Bún thang,Hot rice noodle soup,"Bánh đa, bún, phở",391.7,30.3,11.7,41.3,28.7,0.0,14.9,155.2,1.2,0.9,1156.0,15.8,37.6,0.0,Hot rice noodle soup,Bún thang,1,canonical_nin,1.0,hot rice noodle soup,False
NIN,HAN-113024,Bún thang,Hot rice noodle soup,"Bánh đa, bún, phở",534.5,26.1,17.7,67.7,224.6,1279.8,17.4,144.8,2.9,1.6,791.0,110.6,33.8,0.0,Hot rice noodle soup,Bún thang,1,canonical_nin,1.0,hot rice noodle soup,False
NIN,HAN-111006,Bún riêu gánh,Crab paste noodle soup,"Bánh đa, bún, phở",673.9,43.5,29.2,59.2,112.4,1303.5,33.1,2509.8,4.3,1.8,1690.6,42.4,62.6,0.0,Crab paste noodle soup,Bún riêu gánh,1,canonical_nin,1.0,crab paste noodle soup,False
NIN,HAN-113103,Bún ốc nóng,Snail noodle soup,"Bánh đa, bún, phở",436.5,29.4,6.0,66.3,100.0,1191.4,23.9,1709.6,1.3,1.6,2038.9,4.6,26.9,0.0,Snail noodle soup,Bún ốc nóng,1,canonical_nin,1.0,snail noodle soup,False
NIN,HAN-113052,Bún ốc nóng,Snail noodle soup,"Bánh đa, bún, phở",522.2,29.8,5.0,89.5,64.2,754.6,19.8,1792.9,1.6,1.4,9.2,0.0,9.9,0.0,Snail noodle soup,Bún ốc nóng,1,canonical_nin,1.0,snail noodle soup,False
NIN,HAN-111023,Bún ốc,Snail rice noodles,"Bánh đa, bún, phở",502.6,42.3,11.8,56.8,106.4,1238.2,40.0,123.4,2.6,3.8,2531.3,5.7,37.2,0.0,Snail rice noodles,Bún ốc,1,canonical_nin,1.0,snail rice noodles,False
NIN,HAN-112056,Bún giả cày,Vietnamese rice vermicelli with fermented pork knuckle stew,"Bánh đa, bún, phở",817.0,21.5,17.6,143.2,280.5,2978.2,98.6,560.9,7.8,3.1,3410.8,20.7,196.6,0.0,Vietnamese rice vermicelli with fermented pork knuckle stew,Bún giả cày,1,canonical_nin,1.0,vietnamese rice vermicelli with fermented pork knuckle stew,False
NIN,HAN-113056,Bún đậu mẹt,Vermicelli with fried tofu and shrimp paste,"Bánh đa, bún, phở",857.7,40.5,30.6,105.2,74.2,662.5,14.9,422.1,13.6,2.5,73.1,30.7,73.9,0.0,Vermicelli with fried tofu and shrimp paste,Bún đậu mẹt,1,canonical_nin,1.0,vermicelli with fried tofu and shrimp paste,False
NIN,HAN-112055,Bún đậu mắm tôm,Vermicelli with fried tofu and shrimp paste,"Bánh đa, bún, phở",1194.9,44.1,61.4,116.5,140.4,1476.9,53.3,462.1,7.7,4.0,1772.7,51.0,279.6,0.0,Vermicelli with fried tofu and shrimp paste,Bún đậu mắm tôm,1,canonical_nin,1.0,vermicelli with fried tofu and shrimp paste,False
NIN,HAN-113061,Bún dọc mùng,Colocasia gigantea noodle soup,"Bánh đa, bún, phở",789.3,39.1,33.7,82.4,99.3,785.0,31.7,100.6,6.2,7.9,1634.0,166.0,62.0,0.0,Colocasia gigantea noodle soup,Bún dọc mùng,1,canonical_nin,1.0,colocasia gigantea noodle soup,False
NIN,HAN-113019,Bún dọc mùng,Colocasia gigantea noodle soup,"Bánh đa, bún, phở",503.9,29.0,18.2,56.0,5.7,39.8,2.4,42.6,3.0,3.5,1079.0,103.0,23.0,0.0,Colocasia gigantea noodle soup,Bún dọc mùng,1,canonical_nin,1.0,colocasia gigantea noodle soup,False
NIN,HAN-122012,Trứng ngải cứu,Mugwort fried eggs,Các món khác,269.8,16.9,19.6,6.4,199.2,0.0,0.0,73.5,1.5,0.0,2208.8,491.4,31.0,0.0,Mugwort fried eggs,Trứng ngải cứu,1,canonical_nin,1.0,mugwort fried eggs,False
NIN,HAN-122009,Quả cóc dầm,Pickled ambarella with chilli powder,Các món khác,217.0,6.3,0.0,48.0,0.0,0.0,0.0,131.6,5.6,0.0,2468.0,0.0,0.0,0.0,Pickled ambarella with chilli powder,Quả cóc dầm,1,canonical_nin,1.0,pickled ambarella with chilli powder,False
NIN,HAN-121080,Quẩy đường (5 cái),Wheat fritters twisted fried,Các món khác,267.5,6.7,9.1,39.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wheat fritters twisted fried,Quẩy đường (5 cái),1,canonical_nin,1.0,wheat fritters twisted fried,False
NIN,HAN-123024,Pho mai que chiên 2 cái,Deep fried cheese sticks (2 pieces),Các món khác,341.8,14.4,25.1,14.6,136.7,0.0,0.0,370.6,0.6,2.0,298.9,50.4,48.0,0.0,Deep fried cheese sticks (2 pieces),Pho mai que chiên 2 cái,1,canonical_nin,1.0,deep fried cheese sticks (2 pieces),False
NIN,HAN-123051,Ngô nướng,Grilled Corn on the Cob,Các món khác,400.6,8.2,4.6,81.6,40.0,0.0,0.0,40.0,3.0,2.8,6.0,0.0,78.0,0.0,Grilled Corn on the Cob,Ngô nướng,1,canonical_nin,1.0,grilled corn on the cob,False
NIN,HAN-121084,Mực viên chiên đường phố (5 cái),Fried squid balls on the street (5 pieces),Các món khác,146.9,5.6,9.8,9.1,6.9,0.0,0.0,2.7,0.7,0.3,7.5,0.0,3.6,15.5,Fried squid balls on the street (5 pieces),Mực viên chiên đường phố (5 cái),1,canonical_nin,1.0,fried squid balls on the street (5 pieces),False
NIN,HAN-122070,Kẹo bông gòn,Candy floss,Các món khác,99.3,0.0,0.0,24.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Candy floss,Kẹo bông gòn,1,canonical_nin,1.0,candy floss,False
NIN,HAN-122016,Củ dong luộc,Boiled arrowroot,Các món khác,287.8,3.1,0.0,68.8,0.0,0.0,0.0,93.9,0.0,0.0,163.1,0.0,102.8,0.0,Boiled arrowroot,Củ dong luộc,1,canonical_nin,1.0,boiled arrowroot,False
NIN,HAN-121083,Cá viên chiên đường phố (5 cái),Fried fish balls on the street (5 pieces),Các món khác,203.5,5.7,15.5,10.3,6.9,0.0,0.0,2.7,0.6,0.6,7.5,0.0,3.6,21.0,Fried fish balls on the street (5 pieces),Cá viên chiên đường phố (5 cái),1,canonical_nin,1.0,fried fish balls on the street (5 pieces),False
NIN,HAN-121077,Bỏng ngô,Popcorn,Các món khác,262.2,5.9,1.1,57.3,0.0,0.0,0.0,2.0,0.4,0.0,235.3,0.0,227.1,0.0,Popcorn,Bỏng ngô,1,canonical_nin,1.0,popcorn,False
NIN,HAN-121078,Bánh bỏng ngô mật,Molasses popcorn,Các món khác,195.0,2.9,0.5,44.7,0.0,0.0,0.0,1.4,0.3,0.0,115.2,0.0,111.2,0.0,Molasses popcorn,Bánh bỏng ngô mật,1,canonical_nin,1.0,molasses popcorn,False
NIN,HAN-121079,Bánh bỏng gạo,Poprice cake,Các món khác,398.9,6.0,0.7,92.2,0.0,0.0,0.0,22.3,1.0,2.4,3.7,0.0,10.4,0.0,Poprice cake,Bánh bỏng gạo,1,canonical_nin,1.0,poprice cake,False
NIN,HAN-121028,Tào phớ thập cẩm,Tofu with tapioca pearls and jelly,"Chè, các loại giải khát",236.9,6.6,6.9,37.1,0.0,0.0,0.0,241.2,6.9,1.3,67.4,0.0,147.5,0.0,Tofu with tapioca pearls and jelly,Tào phớ thập cẩm,1,canonical_nin,1.0,tofu with tapioca pearls and jelly,False
