alias_id,canonical_key,canonical_name_en,alias_text,alias_lang,alias_type,is_preferred,source,source_priority
ALIAS-001751,rice congee with black beans and fried tofu,Rice congee with black beans and fried tofu,"chao dau den, dau phu",vi,non_diacritic,False,NIN,1
ALIAS-001752,sticky rice with braised meat and eggs,Sticky rice with braised meat and eggs,xoi trang thit trung,vi,non_diacritic,False,NIN,1
ALIAS-001753,sticky rice with maize seeds and mung bean paste,Sticky rice with maize seeds and mung bean paste,xoi ngo,vi,non_diacritic,False,NIN,1
ALIAS-001754,sticky rice with dried shredded pork and roasted peanut mixed with sesame and salt,Sticky rice with dried shredded pork and roasted peanut mixed with sesame and salt,xoi lac vung ruoc,vi,non_diacritic,False,NIN,1
ALIAS-001755,set meal (egg and pork belly),Set meal (egg and pork belly),"com suat (trung, thit ba chi)",vi,non_diacritic,False,NIN,1
ALIAS-001756,set meal (amur carp and pig leg),Set meal (amur carp and pig leg),"com suat (thit, ca)",vi,non_diacritic,False,NIN,1
ALIAS-001757,economy rice with chicken,Economy rice with chicken,com ga,vi,non_diacritic,False,NIN,1
ALIAS-001758,low-price rice,Low-price rice,com bui,vi,non_diacritic,False,NIN,1
ALIAS-001759,"set meal (scad fish, pork belly, shrimp and tofu)","Set meal (scad fish, pork belly, shrimp and tofu)","com binh dan (ca, thit, tom, dau)",vi,non_diacritic,False,NIN,1
ALIAS-001760,"set meal (chicken, shrimp and pork belly)","Set meal (chicken, shrimp and pork belly)","com binh dan (thit ga, tom, thit lon ba chi)",vi,non_diacritic,False,NIN,1
ALIAS-001761,set meal (scad fish and pork belly),Set meal (scad fish and pork belly),"com binh dan (ca nuc, thit ba chi)",vi,non_diacritic,False,NIN,1
ALIAS-001762,grilled eggs,Grilled eggs,trung chen nuong,vi,non_diacritic,False,NIN,1
ALIAS-001763,set of deep fried chicken wings and drumsticks,Set of deep fried chicken wings and drumsticks,"set canh, dui ga tam bot chien",vi,non_diacritic,False,NIN,1
ALIAS-001764,set of fish sauce glazed chicken wings and drumsticks,Set of fish sauce glazed chicken wings and drumsticks,set canh - dui ga chien mam,vi,non_diacritic,False,NIN,1
ALIAS-001765,deep fried cheesecake (2 pieces),Deep fried cheesecake (2 pieces),pho mai chien (2 vien),vi,non_diacritic,False,NIN,1
ALIAS-001766,vietnamese grilled pork sausage rolls,Vietnamese grilled pork sausage rolls,nem nuong cuon,vi,non_diacritic,False,NIN,1
ALIAS-001767,vong village green rice,Vong village green rice,com lang vong,vi,non_diacritic,False,NIN,1
ALIAS-001768,sandworm omelet,Sandworm omelet,cha ruoi,vi,non_diacritic,False,NIN,1
ALIAS-001769,rice vermicelli with fried fish-paste (la vong style),Rice vermicelli with fried fish-paste (La Vong style),cha ca la vong,vi,non_diacritic,False,NIN,1
ALIAS-001770,deep fried chicken wings,Deep fried chicken wings,canh ga tam bot chien,vi,non_diacritic,False,NIN,1
ALIAS-001771,bbq chicken wings (5 pieces),BBQ chicken wings (5 pieces),canh ga nuong (5 cai),vi,non_diacritic,False,NIN,1
ALIAS-001772,tofu with tapioca pearls,Tofu with tapioca pearls,tao pho thap cam,vi,non_diacritic,False,NIN,1
ALIAS-001773,bubble milk,Bubble milk,sua tuoi tran chau,vi,non_diacritic,False,NIN,1
ALIAS-001774,mungbean-greenwort yogurt smoothie,Mungbean-greenwort yogurt smoothie,sua chua dau xanh rau ma,vi,non_diacritic,False,NIN,1
ALIAS-001775,yogurt with tapioca pearls,Yogurt with tapioca pearls,sua chua tran chau,vi,non_diacritic,False,NIN,1
